,date,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
0,1970-01-01 00:00:00.000000000,2025-03-31,USD,48147000000,70066000000,21919000000,21919000000,32000000000,1737000000.0,8198000000.0,16147000000,,3000000.0,597000000.0,594000000.0,,,,8740000000.0,31377000000,5553000000,,25824000000.0,,31971000000,40711000000.0,25824000000,MSFT
1,1970-01-01 00:00:00.000000001,2024-12-31,USD,47833000000,69632000000,21799000000,21799000000,31653000000,1823000000.0,7917000000.0,16180000000,,6000000.0,600000000.0,594000000.0,,,,6827000000.0,29365000000,5257000000,,24108000000.0,,29959000000,36786000000.0,24108000000,MSFT
2,1970-01-01 00:00:00.000000002,2024-09-30,USD,45486000000,65585000000,20099000000,20099000000,30552000000,1673000000.0,7544000000.0,14934000000,,99000000.0,681000000.0,582000000.0,,,,7383000000.0,30269000000,5602000000,,24667000000.0,,30851000000,38234000000.0,24667000000,MSFT
3,1970-01-01 00:00:00.000000003,2024-06-30,USD,45043000000,64727000000,19684000000,19684000000,27925000000,2246000000.0,8056000000.0,17118000000,,-63000000.0,638000000.0,701000000.0,,,,6380000000.0,27250000000,5214000000,,22036000000.0,,27951000000,34331000000.0,22036000000,MSFT
4,1970-01-01 00:00:00.000000004,2024-03-31,USD,43353000000,61858000000,18505000000,18505000000,27581000000,1912000000.0,7653000000.0,15772000000,,-181000000.0,619000000.0,800000000.0,,,,6027000000.0,26727000000,4788000000,,21939000000.0,,27527000000,33554000000.0,21939000000,MSFT
5,1970-01-01 00:00:00.000000005,2023-12-31,USD,42397000000,62020000000,19623000000,19623000000,27032000000,1977000000.0,7142000000.0,15365000000,,-175000000.0,734000000.0,909000000.0,,,,5959000000.0,26526000000,4656000000,,21870000000.0,,27435000000,33394000000.0,21870000000,MSFT
6,1970-01-01 00:00:00.000000006,2023-09-30,USD,40215000000,56517000000,16302000000,16302000000,26895000000,1474000000.0,6659000000.0,13320000000,,641000000.0,1166000000.0,525000000.0,,,,3921000000.0,27284000000,4993000000,,22291000000.0,,27809000000,31730000000.0,22291000000,MSFT
7,1970-01-01 00:00:00.000000007,2023-06-30,USD,39394000000,56189000000,16795000000,16795000000,24254000000,2197000000.0,6739000000.0,15140000000,,423000000.0,905000000.0,482000000.0,,,,3874000000.0,24727000000,4646000000,,20081000000.0,,24254000000,28128000000.0,20081000000,MSFT
8,1970-01-01 00:00:00.000000008,2023-03-31,USD,36729000000,52857000000,16128000000,16128000000,22352000000,1643000000.0,6984000000.0,14377000000,,252000000.0,748000000.0,496000000.0,,321000000.0,,3549000000.0,22673000000,4374000000,,18299000000.0,,23169000000,26718000000.0,18299000000,MSFT
9,1970-01-01 00:00:00.000000009,2022-12-31,USD,35259000000,52747000000,17488000000,17488000000,20399000000,2337000000.0,6844000000.0,14860000000,,210000000.0,700000000.0,490000000.0,,-60000000.0,,3648000000.0,20339000000,3914000000,,16425000000.0,,20399000000,24047000000.0,16425000000,MSFT
10,1970-01-01 00:00:00.000000010,2022-09-30,USD,34670000000,50122000000,15452000000,15452000000,21518000000,1398000000.0,6628000000.0,13152000000,,141000000.0,641000000.0,500000000.0,,54000000.0,,3400000000.0,21572000000,4016000000,,17556000000.0,,21518000000,24918000000.0,17556000000,MSFT
11,1970-01-01 00:00:00.000000011,2022-06-30,USD,35436000000,51865000000,16429000000,16429000000,20534000000,1749000000.0,6849000000.0,14902000000,,56000000.0,552000000.0,496000000.0,,-47000000.0,,3979000000.0,20487000000,3747000000,,16740000000.0,,20983000000,24962000000.0,16740000000,MSFT
12,1970-01-01 00:00:00.000000012,2022-03-31,USD,33745000000,49360000000,15615000000,15615000000,20364000000,1480000000.0,6306000000.0,13381000000,,16000000.0,519000000.0,503000000.0,,-174000000.0,,3773000000.0,20190000000,3462000000,,16728000000.0,,20693000000,24466000000.0,16728000000,MSFT
13,1970-01-01 00:00:00.000000013,2021-12-31,USD,34768000000,51728000000,16960000000,16960000000,22247000000,1384000000.0,5758000000.0,12521000000,,-22000000.0,503000000.0,525000000.0,,268000000.0,,3496000000.0,22515000000,3750000000,,18765000000.0,,23040000000,26536000000.0,18765000000,MSFT
14,1970-01-01 00:00:00.000000014,2021-09-30,USD,31671000000,45317000000,13646000000,13646000000,20238000000,1287000000.0,5599000000.0,11433000000,,-19000000.0,520000000.0,539000000.0,,286000000.0,,3212000000.0,20524000000,19000000,,20505000000.0,,21063000000,24275000000.0,20505000000,MSFT
15,1970-01-01 00:00:00.000000015,2021-06-30,USD,32161000000,46152000000,13991000000,13991000000,19095000000,1522000000.0,5687000000.0,13066000000,,-56000000.0,497000000.0,553000000.0,,310000000.0,,3344000000.0,19405000000,2947000000,,16458000000.0,,19958000000,23302000000.0,16458000000,MSFT
16,1970-01-01 00:00:00.000000016,2021-03-31,USD,28661000000,41706000000,13045000000,13045000000,17048000000,1327000000.0,5204000000.0,11613000000,,-114000000.0,519000000.0,633000000.0,,188000000.0,,2936000000.0,17236000000,1779000000,,15457000000.0,,17869000000,20805000000.0,15457000000,MSFT
17,1970-01-01 00:00:00.000000017,2020-12-31,USD,28882000000,43076000000,14194000000,14194000000,17897000000,1139000000.0,4899000000.0,10985000000,,-26000000.0,545000000.0,571000000.0,,440000000.0,,2761000000.0,18337000000,2874000000,,15463000000.0,,18908000000,21669000000.0,15463000000,MSFT
