,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
0,2005-03-31,AAPL,402000000,402000000,435000000,145000000,290000000,-33000000.0,-33000000.0
1,2005-06-30,AAPL,426000000,426000000,472000000,153000000,319000000,-46000000.0,-46000000.0
2,2005-09-30,AAPL,418000000,418000000,478000000,48000000,430000000,-60000000.0,-60000000.0
3,2005-12-31,AAPL,750000000,750000000,831000000,266000000,565000000,-81000000.0,-81000000.0
4,2006-03-31,AAPL,529000000,529000000,605000000,195000000,410000000,-76000000.0,-76000000.0
5,2006-06-30,AAPL,566000000,566000000,661000000,189000000,472000000,0.0,0.0
6,2006-09-30,AAPL,608000000,661000000,721000000,179000000,542000000,-252000000.0,-252000000.0
7,2006-12-31,AAPL,1322000000,1322000000,1448000000,444000000,1004000000,-126000000.0,-126000000.0
8,2007-03-31,AAPL,986000000,986000000,1134000000,364000000,770000000,-148000000.0,-148000000.0
9,2007-06-30,AAPL,1041000000,1041000000,1196000000,378000000,818000000,-155000000.0,-155000000.0
10,2007-09-30,AAPL,1060000000,1060000000,1230000000,326000000,904000000,-170000000.0,-170000000.0
11,2007-12-31,AAPL,2126000000,2126000000,2326000000,745000000,1581000000,-200000000.0,-200000000.0
12,2008-03-31,AAPL,1315000000,1315000000,1477000000,432000000,1045000000,-162000000.0,-162000000.0
13,2008-06-30,AAPL,1392000000,1392000000,1510000000,438000000,1072000000,-118000000.0,-118000000.0
14,2008-09-30,AAPL,1442000000,1442000000,1582000000,446000000,1136000000,-140000000.0,-140000000.0
15,2008-12-31,AAPL,3101000000,3101000000,3259000000,1004000000,2255000000,-158000000.0,-158000000.0
16,2009-03-31,AAPL,2323000000,2323000000,2386000000,766000000,1620000000,-63000000.0,-63000000.0
17,2009-06-30,AAPL,2632000000,2632000000,2692000000,864000000,1828000000,-176000000.0,-236000000.0
18,2009-09-30,AAPL,2193000000,2193000000,2238000000,573000000,1665000000,-45000000.0,-45000000.0
19,2009-12-31,AAPL,4725000000,4725000000,4758000000,1380000000,3378000000,0.0,-33000000.0
20,2010-03-31,AAPL,3979000000,3979000000,4029000000,955000000,3074000000,-216000000.0,-266000000.0
21,2010-06-30,AAPL,4234000000,4234000000,4292000000,1039000000,3253000000,0.0,-58000000.0
22,2010-09-30,AAPL,5447000000,5447000000,5461000000,1153000000,4308000000,0.0,-14000000.0
23,2010-12-31,AAPL,7827000000,7827000000,7963000000,1959000000,6004000000,0.0,-136000000.0
24,2011-03-31,AAPL,7874000000,7874000000,7900000000,1913000000,5987000000,0.0,-26000000.0
25,2011-06-30,AAPL,9379000000,9379000000,9551000000,2243000000,7308000000,0.0,-172000000.0
26,2011-09-30,AAPL,8710000000,8710000000,8791000000,2168000000,6623000000,0.0,-81000000.0
27,2011-12-31,AAPL,17340000000,17340000000,17477000000,4413000000,13064000000,0.0,-137000000.0
28,2012-03-31,AAPL,15384000000,15384000000,15532000000,3910000000,11622000000,0.0,-148000000.0
29,2012-06-30,AAPL,11573000000,11861000000,11861000000,3037000000,8824000000,0.0,-288000000.0
30,2012-09-30,AAPL,10944000000,10944000000,10893000000,2670000000,8223000000,-102000000.0,-51000000.0
31,2012-12-31,AAPL,17210000000,17672000000,17672000000,4594000000,13078000000,0.0,-462000000.0
32,2013-03-31,AAPL,12558000000,12905000000,12905000000,3358000000,9547000000,0.0,-347000000.0
33,2013-06-30,AAPL,9201000000,9488000000,9435000000,2535000000,6900000000,181000000.0,-53000000.0
34,2013-09-30,AAPL,10030000000,10030000000,10143000000,2631000000,7512000000,30000000.0,-83000000.0
35,2013-12-31,AAPL,17463000000,17463000000,17709000000,4637000000,13072000000,162000000.0,-84000000.0
36,2014-03-31,AAPL,13593000000,13593000000,13818000000,3595000000,10223000000,140000000.0,-85000000.0
37,2014-06-30,AAPL,10282000000,10282000000,10484000000,2736000000,7748000000,102000000.0,-100000000.0
38,2014-09-30,AAPL,11165000000,11165000000,11472000000,3005000000,8467000000,192000000.0,-115000000.0
39,2014-12-31,AAPL,24246000000,24246000000,24416000000,6392000000,18024000000,39000000.0,-131000000.0
40,2015-03-31,AAPL,18278000000,18278000000,18564000000,4995000000,13569000000,123000000.0,-163000000.0
41,2015-06-30,AAPL,14083000000,14083000000,14473000000,3796000000,10677000000,189000000.0,-201000000.0
42,2015-09-30,AAPL,14623000000,14623000000,15062000000,3938000000,11124000000,201000000.0,-238000000.0
43,2015-12-31,AAPL,24171000000,24171000000,24573000000,6212000000,18361000000,126000000.0,-276000000.0
44,2016-03-31,AAPL,13987000000,13987000000,14142000000,3626000000,10516000000,-166000000.0,-321000000.0
45,2016-06-30,AAPL,10105000000,10105000000,10469000000,2673000000,7796000000,-45000000.0,-409000000.0
46,2016-09-30,AAPL,11761000000,12638000000,12188000000,3174000000,9014000000,-23000000.0,-450000000.0
47,2016-12-31,AAPL,23359000000,23359000000,24180000000,6289000000,17891000000,296000000.0,-525000000.0
48,2017-03-31,AAPL,14097000000,14097000000,14684000000,3655000000,11029000000,57000000.0,-530000000.0
49,2017-06-30,AAPL,10768000000,10768000000,11308000000,2591000000,8717000000,-62000000.0,-602000000.0
50,2017-09-30,AAPL,13120000000,14583000000,13917000000,3203000000,10714000000,131000000.0,-666000000.0
51,2017-12-31,AAPL,26274000000,26274000000,27030000000,6965000000,20065000000,22000000.0,-734000000.0
52,2018-03-31,AAPL,15894000000,16960000000,16168000000,2346000000,13822000000,-518000000.0,-792000000.0
53,2018-06-30,AAPL,12612000000,12612000000,13284000000,1765000000,11519000000,-174000000.0,-846000000.0
54,2018-09-30,AAPL,16118000000,17289000000,16421000000,2296000000,14125000000,-565000000.0,-868000000.0
55,2018-12-31,AAPL,23346000000,24796000000,23906000000,3941000000,19965000000,-330000000.0,-890000000.0
56,2019-03-31,AAPL,13415000000,14803000000,13793000000,2232000000,11561000000,726000000.0,348000000.0
